"filename","covered","total","percent"
"R/approximations.R",0,20,0
"R/comparison_plots.R",0,175,0
"R/generate_activity.R",0,9,0
"R/heatmap_time.R",0,65,0
"R/map_onto_noswitch.R",0,62,0
"R/piplelines.R",0,47,0
"R/plotters.R",0,158,0
"R/vary_parameters.R",10,74,13.5135135135135
"R/seir_mixswitch.R",6,28,21.4285714285714
"R/compare_curves.R",87,305,28.5245901639344
"R/contact_helpers.R",3,10,30
"R/switch_models.R",14,29,48.2758620689655
"R/parameter_store.R",47,97,48.4536082474227
"src/seirs_act.cpp",132,171,77.1929824561403
"R/epidemic_metrics.R",234,292,80.1369863013699
"R/utilities.R",38,45,84.4444444444444
"R/contact_models.R",26,26,100
"R/dust.R",1,1,100
