"epsilon","switch_rate","res_time","hit_metric","hit_diff","final_size_metric","final_size_diff","r0_metric","r0_diff"
0,0,Inf,0.306805922977836,-0.193194077022164,0.530637136785151,-0.266507181772818,2,0
0.25,0,Inf,0.288244179928648,-0.211755820071352,0.51396730284027,-0.2831770157177,2.13488722526657,0.134887225266566
0.5,0,Inf,0.26172654327156,-0.23827345672844,0.489630422979969,-0.307513895578001,2.33154890689794,0.331548906897939
0.75,0,Inf,0.262669231623502,-0.237330768376498,0.451323100344624,-0.345821218213345,2.61405476113796,0.614054761137965
1,0,Inf,0.34254378690388,-0.15745621309612,0.361555183685089,-0.435589134872881,2.98891769218225,0.988917692182251
0,0.02,50,0.333476663185619,-0.166523336814381,0.59455666034315,-0.20258765821482,1.94073769112975,-0.0592623088702493
0.25,0.02,50,0.319237059989873,-0.180762940010127,0.586019608126989,-0.21112471043098,2.0547045012626,0.0547045012626031
0.5,0.02,50,0.296292145831447,-0.203707854168553,0.573908603726222,-0.223235714831748,2.21890170499072,0.218901704990722
0.75,0.02,50,0.26974700536601,-0.23025299463399,0.592519849479266,-0.204624469078704,2.4550014675612,0.455001467561202
1,0.02,50,0.326508866775668,-0.173491133224332,0.632976907811317,-0.164167410746653,2.77400081692358,0.774000816923581
0,0.05,20,0.363062554645116,-0.136937445354884,0.626948240855577,-0.170196077702393,1.86962292048545,-0.130377079514547
0.25,0.05,20,0.355472883256345,-0.144527116743655,0.627118667334736,-0.170025651223233,1.96021872103441,-0.0397812789655887
0.5,0.05,20,0.342405579467878,-0.157594420532122,0.62434375949247,-0.1728005590655,2.0883391569648,0.0883391569647962
0.75,0.05,20,0.32004081597538,-0.179959184024621,0.617642839202322,-0.179501479355647,2.2716965176311,0.271696517631097
1,0.05,20,0.313634210541916,-0.186365789458084,0.610792417305233,-0.186351901252737,2.52424149335904,0.524241493359044
0,0.2,5,0.380154355672024,-0.119845644327976,0.583209474237696,-0.213934844320274,1.67405730121363,-0.325942698786369
0.25,0.2,5,0.389038267103626,-0.110961732896374,0.587600880157958,-0.209543438400012,1.71195802449917,-0.288041975500831
0.5,0.2,5,0.398539288291526,-0.101460711708474,0.592249729717614,-0.204894588840356,1.76131619002916,-0.238683809970844
0.75,0.2,5,0.410725494679765,-0.0892745053202346,0.597074338658394,-0.200069979899575,1.82749429070332,-0.17250570929668
1,0.2,5,0.427337697706792,-0.0726623022932078,0.601867193021,-0.19527712553697,1.91806770941881,-0.0819322905811894
